edge_1based,gradient_mode_1,gradient_mode_2,gradient_mode_3,gradient_mode_4,gradient_mode_5,gradient_mode_6,gradient_mode_7,gradient_mode_8,gradient_mode_9,gradient_mode_10,gradient_mode_11,gradient_mode_12
29,-0.019267769032722221,-0.031129126921591421,-0.017697715739925401,-0.097325371146510159,0.10669764695714429,0.095012047774725647,0.027822015006197034,0.0029311619328685062,0.21110993507739423,-0.010365950204580032,-0.11442248962854376,-1.4399585292717079e-05
30,-0.10785507055664427,-0.02052958607491201,0.020475182013439924,-0.010113189716784063,0.020569017832735154,-0.057126977292997982,-0.016719299773411148,0.098626695787488131,0.099878421015746649,0.04117939112777097,-0.21495648926475108,0.0022411070574473563
31,-0.081573500421561682,0.026664562829916791,-0.0060113400096045155,-0.032095007909174987,0.00037504562306261979,0.024967844760158731,-0.049165619384222328,0.030293430294642341,0.27121889591198128,0.11177139442493948,-0.092445093479369356,-0.0080692806137437172
32,-0.0154899459337446,0.17688170337989578,-0.015093397043607681,-0.0067174366768455313,-0.0059968283305067149,-0.056946273316411236,-0.017603826782633059,-0.020025129148669191,0.18343685885056563,-0.036362797416289033,-0.18327931203714237,0.00035493271108487731
33,-0.088587301523922052,0.010599540846679597,0.038172897753365298,0.087212181429726046,-0.086128629124408967,-0.15213902506772359,-0.04454131477960814,0.09569553385461943,-0.11123151406164755,0.051545341332351058,-0.10053399963620721,0.0022555066427398457
34,-0.062305731388839485,0.057793689751507983,0.011686375730320882,0.065230363237335165,-0.10632260133408156,-0.07004420301456693,-0.076987634390419363,0.027362268361773696,0.060108960834586986,0.12213734462951961,0.021977396149174426,-0.008054881028451118
35,0.0262815701350822,0.047194148904828287,-0.026486522023044405,-0.021981818192390937,-0.020193972209672454,0.082094822053156685,-0.032446319610811299,-0.068333265492845824,0.17134047489623461,0.070592003297168582,0.12251139578538169,-0.010310387671191341
36,-0.062934438222383107,0.070753593403828474,-0.013440259789012832,0.14083838312507502,0.033802336668562125,-0.0038212341512096314,0.04318059821374038,-0.1210894326757358,0.039830329529315964,-0.071673115395084183,0.093994009193728592,0.004841534932601102
37,-0.08957301810387347,0.050977579197848427,0.015880646693415781,-0.04587533092252024,-0.04254615825214534,0.088718479967698979,-0.099867421808618032,-0.059772364812032588,0.044741940883548006,-0.080265150678877809,0.10762919056316082,0.0099061295770967901
38,-0.10718129181703624,0.061389300995413398,0.011600013914345404,-0.028333239590601557,-0.00050879937562105931,0.011566198286265553,0.06111882278446161,-0.16892306876299126,0.1163933730814158,-0.019739849082815921,0.12262896715541516,-0.026905787377656056
39,0.066083554487817053,0.15021714054997881,-0.0090820570340026646,0.025377571232329282,-0.0063718739535695394,-0.081914118076569925,0.031561792601589186,-0.05031855944331147,-0.087782037061415547,-0.14813419184122859,-0.090834218557773003,0.008424213324829205
40,-0.089216008357465681,0.023559444499000194,0.013046262234031642,0.16282020131746608,0.053996308878234534,-0.085916056204366251,0.075626917824551748,-0.052756167182890147,-0.13151014536691871,-0.14226511869225261,-0.028517386591653017,0.015151922603791911
41,-0.11585458823895618,0.0037834302930201892,0.042367168716460166,-0.023893512730129449,-0.022352186042472792,0.0066236579145424086,-0.067421102197806823,0.0085609006808129787,-0.12659853401268656,-0.15085715397604627,-0.014882205222220776,0.020216517248287796
